abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,print_section,print_page,subsection_name,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization
The robust feminist blogosphere of 2016 is all but gone. Some of the creators are missing its perspective.,https://www.nytimes.com/2024/10/28/style/feminist-media-election.html,The robust feminist blogosphere of 2016 is all but gone. Some of the creators are missing its perspective.,"It was 2016, and the future was female.",The New York Times,,,2024-10-28T17:00:11+0000,article,Styles,Style,News,nyt://article/f560c65a-5650-5655-8c72-2102ea16bf9c,1409,nyt://article/f560c65a-5650-5655-8c72-2102ea16bf9c,NA,NA,NA,‘Lady Blogs’ Would Have Had a Field Day With This Election,NA,NA,,NA,NA,NA,By Marie Solis,,NA
"Hundreds of ballots may have been destroyed in Washington, while a fire suppressant protected most of the ballots in Portland.",https://www.nytimes.com/2024/10/28/us/politics/ballot-box-fires-oregon-washington.html,"Hundreds of ballots may have been destroyed in Washington, while a fire suppressant protected most of the ballots in Portland.","Two ballot drop boxes in the Pacific Northwest were set ablaze in apparent cases of arson in the early morning hours on Monday, and elections officials at one site said they feared that hundreds of ballots had been destroyed.",The New York Times,,,2024-10-28T17:11:39+0000,article,National,U.S.,News,nyt://article/9a99d298-5cd5-58fe-9493-ebbfa653b9da,576,nyt://article/9a99d298-5cd5-58fe-9493-ebbfa653b9da,NA,NA,Politics,Investigators Identify ‘Suspect Vehicle’ in Ballot Drop Box Fires in the Pacific Northwest,NA,NA,,NA,NA,NA,By Mike Baker,,NA
"A range of speakers at Madison Square Garden on Sunday disparaged Latinos, Black people, Palestinians and Jews, and made vulgar references to Kamala Harris. The Trump campaign has distanced itself from only one of these statements.",https://www.nytimes.com/2024/10/28/us/politics/trump-msg-rally-speaker-remarks.html,"A range of speakers at Madison Square Garden on Sunday disparaged Latinos, Black people, Palestinians and Jews, and made vulgar references to Kamala Harris. The Trump campaign has distanced itself from only one of these statements.","By the time former President Donald J. Trump took the stage at Madison Square Garden on Sunday, a parade of speakers had already spent hours disparaging Latinos, Black people, Palestinians and Jews; directing misogynistic comments at Vice President Kamala Harris; and echoing language used by the Ku Klux Klan.",The New York Times,,,2024-10-28T17:14:54+0000,article,Politics,U.S.,News,nyt://article/590e7363-eced-5913-9437-300c41e34770,1079,nyt://article/590e7363-eced-5913-9437-300c41e34770,A,15,Politics,"The Misogynistic, Bigoted and Crude Rally Remarks Trump Hasn’t Disavowed",NA,NA,"Misogynistic, Bigoted and Crude Rally Remarks Trump Hasn’t Disavowed",NA,NA,NA,By Maggie Astor,,NA
"The Party to the Polls Purple Tour, a nonpartisan event series geared toward young voters, aims to make voting rowdy.",https://www.nytimes.com/2024/10/28/style/gen-z-voters-concert-series.html,"The Party to the Polls Purple Tour, a nonpartisan event series geared toward young voters, aims to make voting rowdy.",The rapper Yung Gravy has a pitch for young people who may be on the fence about voting.,The New York Times,,,2024-10-28T17:17:08+0000,article,Styles,Style,News,nyt://article/c44065de-3a40-5d48-80b9-5000d86c3a04,601,nyt://article/c44065de-3a40-5d48-80b9-5000d86c3a04,NA,NA,NA,Recruiting Gen Z Voters With ‘Poll Dancers’ and Yung Gravy,NA,NA,,NA,NA,NA,By Callie Holtermann,,NA
"As administrations of both parties have failed to overhaul the nation’s immigration laws, a reckoning for the asylum system, which some say is overdue, seems inevitable.",https://www.nytimes.com/2024/10/28/us/politics/harris-trump-asylum-immigration.html,"As administrations of both parties have failed to overhaul the nation’s immigration laws, a reckoning for the asylum system, which some say is overdue, seems inevitable.","For decades, granting political asylum has been part of the story that the United States has told about itself. As a Western democracy and a nation of immigrants, that national ethos goes, America has an obligation to offer safe harbor to people fleeing persecution in their home countries.",The New York Times,,,2024-10-28T17:34:12+0000,article,Politics,U.S.,News,nyt://article/5325bea7-8294-5880-9271-d86f80ee7a44,1493,nyt://article/5325bea7-8294-5880-9271-d86f80ee7a44,A,1,Politics,"Whether Harris or Trump Wins, Seeking Asylum in the U.S. May Never Be the Same",News ANALYSIS,NA,Vote Means Stricter Era For Asylum,NA,NA,NA,By Jazmine Ulloa and Hamed Aleaziz,,NA
"Joint events with an unpopular incumbent would “only hurt” the vice president at this stage of the campaign, as one of her advisers put it. But the president does not want to be sidelined.",https://www.nytimes.com/2024/10/28/us/politics/harris-biden-campaign.html,"Joint events with an unpopular incumbent would “only hurt” the vice president at this stage of the campaign, as one of her advisers put it. But the president does not want to be sidelined.",Follow live updates on the 2024 election here.,The New York Times,,,2024-10-28T17:41:44+0000,article,Politics,U.S.,News,nyt://article/7b18f1d6-6266-507c-9e23-f9e073f5941c,1522,nyt://article/7b18f1d6-6266-507c-9e23-f9e073f5941c,NA,NA,Politics,Harris Campaign Distances Itself From Biden in the Crucial Final Days,NA,NA,,NA,NA,NA,By Katie Rogers and Michael D. Shear,,NA
"While still cautious, advisers and allies believe that casting Donald Trump as a fascist is working, and that their expansive ground game and appeals on abortion rights may carry the day.",https://www.nytimes.com/2024/10/28/us/politics/kamala-harris-donald-trump-2024-election.html,"While still cautious, advisers and allies believe that casting Donald Trump as a fascist is working, and that their expansive ground game and appeals on abortion rights may carry the day.",Follow live updates on the 2024 election here.,The New York Times,,,2024-10-28T17:46:36+0000,article,Politics,U.S.,News,nyt://article/2e0e3b66-6f66-5645-b4bc-e822932fe78f,1655,nyt://article/2e0e3b66-6f66-5645-b4bc-e822932fe78f,NA,NA,Politics,Harris Aides Quietly Grow More Bullish on Defeating Trump,NA,NA,,NA,NA,NA,"By Reid J. Epstein, Lisa Lerer and Maggie Haberman",,NA
"Known for insult-style comedy, he took aim at Latinos, African Americans, Palestinians and Jews at Madison Square Garden on Sunday, and called Puerto Rico a “floating island of garbage.”",https://www.nytimes.com/2024/10/28/arts/tony-hinchcliffe-trump-rally-comedian.html,"Known for insult-style comedy, he took aim at Latinos, African Americans, Palestinians and Jews at Madison Square Garden on Sunday, and called Puerto Rico a “floating island of garbage.”","The stand-up comedian Tony Hinchcliffe took the stage early in former President Donald J. Trump’s rally at Madison Square Garden on Sunday, hurling a wave of insults and vulgar statements at minority groups including Jews, Latinos and African Americans.",The New York Times,,,2024-10-28T18:24:18+0000,article,Culture,Arts,News,nyt://article/fddcf91a-4f73-59ef-90d1-0da53499a0ed,753,nyt://article/fddcf91a-4f73-59ef-90d1-0da53499a0ed,NA,NA,NA,"Who Is Tony Hinchcliffe, the Trump Rally Comedian?",NA,NA,,NA,NA,NA,By Derrick Bryson Taylor,,NA
"Allies say Stephen K. Bannon, one of the right’s most influential voices, has been tracking the race from prison and is ready to push Trump supporters to the polls.",https://www.nytimes.com/2024/10/28/us/politics/steve-bannon-trump-campaign-war-room.html,"Allies say Stephen K. Bannon, one of the right’s most influential voices, has been tracking the race from prison and is ready to push Trump supporters to the polls.","When Stephen K. Bannon reported to federal prison almost four months ago, he left his podcast in the hands of lesser-known pundits and a void in the right-wing messaging machine behind Donald J. Trump.",The New York Times,,,2024-10-28T19:49:59+0000,article,Politics,U.S.,News,nyt://article/ae28ee1e-02a2-51f5-a5c2-358d3c773e14,1205,nyt://article/ae28ee1e-02a2-51f5-a5c2-358d3c773e14,NA,NA,Politics,Bannon’s Release From Prison Will Unleash an Agitator Into a Heated Campaign,NA,NA,,NA,NA,NA,By Ken Bensinger,,NA
"The president and onetime nominee stood with more than a hundred early voters on Monday in Delaware. He said the moment was “just sweet,” not bittersweet.",https://www.nytimes.com/2024/10/28/us/politics/biden-vote-harris.html,"The president and onetime nominee stood with more than a hundred early voters on Monday in Delaware. He said the moment was “just sweet,” not bittersweet.","With eight days to Nov. 5, President Biden on Monday stood in line with more than a hundred early voters in Delaware and cast his ballot for Vice President Kamala Harris.",The New York Times,,,2024-10-28T19:50:59+0000,article,Washington,U.S.,News,nyt://article/61bfef19-304e-57a1-8bd0-9cde0ecb9c6b,318,nyt://article/61bfef19-304e-57a1-8bd0-9cde0ecb9c6b,NA,NA,Politics,Biden Waits in Line and Casts His Vote for Harris,NA,NA,,NA,NA,NA,By Aishvarya Kavi,,NA
The novice Republican candidate’s honesty has come into question in a race that could decide Senate control.,https://www.nytimes.com/2024/10/28/us/politics/sheehy-tester-montana-senate.html,The novice Republican candidate’s honesty has come into question in a race that could decide Senate control.,"Tim Sheehy, the novice Republican candidate in perhaps the most important Senate race in the country, was not downplaying his lack of a political pedigree when he stepped in front of a welcoming audience at the American Legion hall in downtown Big Timber, Mont.",The New York Times,,,2024-10-28T19:52:37+0000,article,Washington,U.S.,News,nyt://article/801e9cc2-7779-5f2a-bedf-bbec0cb50d4f,1434,nyt://article/801e9cc2-7779-5f2a-bedf-bbec0cb50d4f,A,16,Politics,"In Montana, Republican Tim Sheehy Tries to Outrun Jon Tester, and Scrutiny",NA,NA,Tester’s G.O.P. Challenger in Montana Tries to Outrun Scrutiny of Past,NA,NA,NA,By Carl Hulse,,NA
"An ad from the Harris campaign highlights the death of Amber Nicole Thurman, a Georgia woman whose delay in medical care was reportedly tied to the state’s post-Roe abortion restrictions.",https://www.nytimes.com/2024/10/28/us/politics/harris-ad-amber-nicole-thurman.html,"An ad from the Harris campaign highlights the death of Amber Nicole Thurman, a Georgia woman whose delay in medical care was reportedly tied to the state’s post-Roe abortion restrictions.","Kamala Harris’s presidential campaign has been running this 60-second ad on television stations in Georgia this month, and has spent $348,367 on it since it first aired on Oct. 16, according to AdImpact.",The New York Times,,,2024-10-28T19:52:53+0000,article,Politics,U.S.,News,nyt://article/2a368b37-e7e8-533e-bf40-5ae95358ef49,739,nyt://article/2a368b37-e7e8-533e-bf40-5ae95358ef49,NA,NA,Politics,Harris Ties Trump to the Fatal Fallout of Abortion Bans,the ad campaign,NA,,NA,NA,NA,By Erica L. Green,,NA
"Larry Krasner, the top prosecutor in Philadelphia, sued Elon Musk and his Trump-supporting super PAC, saying the giveaways amounted to an “unlawful lottery.”",https://www.nytimes.com/2024/10/28/us/politics/elon-musk-giveaway-philadelphia-lawsuit.html,"Larry Krasner, the top prosecutor in Philadelphia, sued Elon Musk and his Trump-supporting super PAC, saying the giveaways amounted to an “unlawful lottery.”","District Attorney Larry Krasner of Philadelphia filed a lawsuit on Monday to stop Elon Musk and his Trump-supporting organization, America PAC, from continuing their $1 million daily giveaway in Pennsylvania, calling it an illegal lottery scheme to influence voters in the presidential election.",The New York Times,,,2024-10-28T20:00:55+0000,article,Express,U.S.,News,nyt://article/de97595d-06c6-52d4-b81e-07cf7d606d74,537,nyt://article/de97595d-06c6-52d4-b81e-07cf7d606d74,NA,NA,Politics,Philadelphia District Attorney Sues Musk Over $1 Million Voter Giveaways,NA,NA,,NA,NA,NA,By Kate Christobek,,NA
"A comedian who spoke at Donald Trump’s campaign rally at Madison Square Garden referred to the U.S. territory as a “floating island of garbage,” prompting immediate backlash.",https://www.nytimes.com/2024/10/28/us/politics/puerto-rico-republicans-trump-msg-rally.html,"A comedian who spoke at Donald Trump’s campaign rally at Madison Square Garden referred to the U.S. territory as a “floating island of garbage,” prompting immediate backlash.","Republicans moved quickly to distance themselves from remarks disparaging Puerto Rico made on Sunday by a comedian at the Madison Square Garden rally for Donald J. Trump, a reflection of growing party concern that fallout from the event could hurt Mr. Trump with a critical voting constituency in the final days of this campaign.",The New York Times,,,2024-10-28T20:13:41+0000,article,Politics,U.S.,News,nyt://article/297c695a-c240-5a37-9d3b-a576ca32486f,929,nyt://article/297c695a-c240-5a37-9d3b-a576ca32486f,NA,NA,Politics,Republicans Distance Themselves From Puerto Rico Insult at Trump’s Rally,NA,NA,,NA,NA,NA,By Adam Nagourney,,NA
"Rich with browned butter pecans and chewy with oats, these foolproof cookies are the perfect thing to make — and eat — while results roll in.",https://www.nytimes.com/2024/10/28/dining/chewy-brown-butter-cookies-election-day.html,"Rich with browned butter pecans and chewy with oats, these foolproof cookies are the perfect thing to make — and eat — while results roll in.","Ahead of the 2020 presidential election, interest in election cake resurfaced from its heyday more than 200 years ago. While mentions of the cake predate the American Revolution, the first-known published recipe is in the 1796 book “American Cookery” by Amelia Simmons. That yeast-risen butter cake called for a pint of wine and quart of brandy, which sounds pretty great.",The New York Times,,,2024-10-28T20:19:09+0000,article,Dining,Food,News,nyt://article/f7efa6d7-0132-594f-9b95-73b5f5119b1f,689,nyt://article/f7efa6d7-0132-594f-9b95-73b5f5119b1f,D,5,NA,The Cookies You Want to Bake on Election Day,NA,NA,She Is Voting for This Snack on Election Day,NA,NA,NA,By Genevieve Ko,,NA
"The former president seemed to delight in fueling speculation about what he is cooking up with House Republicans, prompting Democrats to worry about election fraud. Speaker Mike Johnson refused to explain.",https://www.nytimes.com/2024/10/28/us/politics/trump-secret-house-republicans-panic.html,"The former president seemed to delight in fueling speculation about what he is cooking up with House Republicans, prompting Democrats to worry about election fraud. Speaker Mike Johnson refused to explain.",Speaker Mike Johnson was taking in former President Donald J. Trump’s grievance-fueled closing rally at Madison Square Garden on Sunday afternoon when the main actor onstage turned to him and drew him into the drama.,The New York Times,,,2024-10-28T20:33:45+0000,article,Washington,U.S.,News,nyt://article/b083e2d5-f4eb-56b0-8fd6-e05352cf9952,945,nyt://article/b083e2d5-f4eb-56b0-8fd6-e05352cf9952,A,22,Politics,"Trump Hints at ‘Little Secret’ With House Republicans, Setting Off a Panic",political memo,NA,Trump Teases His ‘Little Secret’ With House Leader,NA,NA,NA,By Annie Karni,,NA
"The Trump campaign issued a rare statement distancing itself from a comedian’s offensive joke about Puerto Rico at his rally on Sunday, a sign that it was concerned about losing crucial votes.",https://www.nytimes.com/2024/10/28/us/politics/trump-msg-rally-backlash.html,"The Trump campaign issued a rare statement distancing itself from a comedian’s offensive joke about Puerto Rico at his rally on Sunday, a sign that it was concerned about losing crucial votes.","Donald J. Trump and his allies are full of bravado over his chances of victory in the closing days of the 2024 campaign. But there are signs, publicly and privately, that the former president and his team are worried that their opponents’ descriptions of him as a racist and a fascist may be breaking through to segments of voters.",The New York Times,,,2024-10-28T20:39:27+0000,article,Politics,U.S.,News,nyt://article/94d9dddc-38ee-5af8-bb1a-a27fb191b994,1706,nyt://article/94d9dddc-38ee-5af8-bb1a-a27fb191b994,A,15,Politics,Trump Team Fears Damage From Racist Rally Remarks,NA,NA,Speaker’s Racist Words at Rally Push Trump’s Team Into Damage Control,NA,NA,NA,"By Maggie Haberman, Jonathan Swan and Michael Gold",,NA
"Plus, the “Ketamine Queen.”",https://www.nytimes.com/2024/10/28/briefing/us-election-russia-ukraine-north-korea-vietnam-china.html,"Plus, the “Ketamine Queen.”","With one week to go until Election Day, Kamala Harris is centering her closing argument on the stakes of another Trump presidency. Donald Trump held a provocative closing rally in New York City.",The New York Times,,,2024-10-28T20:57:52+0000,article,NYTNow,Briefing,briefing,nyt://article/0e2958f4-3942-58c5-a7f1-b3c48b1a35c0,1191,nyt://article/0e2958f4-3942-58c5-a7f1-b3c48b1a35c0,NA,NA,NA,Tuesday Briefing: The U.S. Campaign’s Final Stretch,NA,NA,,NA,NA,NA,By Justin Porter,,NA
"Envoys from Israel, Egypt, the United States and Qatar took part in the negotiations, but no agreements are expected until American voters choose their next president.",https://www.nytimes.com/2024/10/28/world/middleeast/gaza-cease-fire-us-elections.html,"Envoys from Israel, Egypt, the United States and Qatar took part in the negotiations, but no agreements are expected until American voters choose their next president.","As international negotiators discussed a cease-fire in the Gaza Strip on Monday, officials and analysts said there was little expectation that Israel and Hamas would agree to a truce before the American presidential election next Tuesday.",The New York Times,,,2024-10-28T21:00:12+0000,article,Foreign,World,News,nyt://article/29a5b8b2-1ee9-578c-834c-2ff55051e978,1103,nyt://article/29a5b8b2-1ee9-578c-834c-2ff55051e978,A,9,Middle East,"Gaza Cease-Fire Talks Resume, but Are Overshadowed by U.S. Election",NA,NA,Gaza Cease-Fire Talks Are Overshadowed by the Coming U.S. Election,NA,NA,NA,By Patrick Kingsley and Hiba Yazbek,,NA
"John Chell also went on other networks, but struck a nerve by appearing on a channel that has boosted conspiracy theories and misinformation.",https://www.nytimes.com/2024/10/28/nyregion/nypd-chief-chell-newsmax-trump.html,"John Chell also went on other networks, but struck a nerve by appearing on a channel that has boosted conspiracy theories and misinformation.","A high-ranking New York City police chief drew criticism after appearing on a conservative news channel in full uniform at Donald J. Trump’s Madison Square Garden rally, with detractors saying he seemed to lend support to the Republican presidential nominee.",The New York Times,,,2024-10-28T21:00:22+0000,article,Metro,New York,News,nyt://article/4094beef-046a-5afd-bdf2-48f8e6fea8ad,568,nyt://article/4094beef-046a-5afd-bdf2-48f8e6fea8ad,NA,NA,NA,N.Y.P.D. Chief Stirs Criticism With Newsmax Appearance at Trump Rally,NA,NA,,NA,NA,NA,By Maria Cramer,,NA
The billionaire and his PAC have used foreboding language about the vice president in their support of former President Donald Trump.,https://www.nytimes.com/2024/10/28/us/politics/musk-harris-assassination-attempts.html,The billionaire and his PAC have used foreboding language about the vice president in their support of former President Donald Trump.,"In speeches to pro-Trump voters across Pennsylvania, Elon Musk has repeated a line he uses about the assassination of Vice President Kamala Harris — saying it would be pointless because she is a “puppet” of unnamed Washington power brokers.",The New York Times,,,2024-10-28T21:39:41+0000,article,Washington,U.S.,News,nyt://article/35496161-de47-5b94-8368-b28afcea3868,838,nyt://article/35496161-de47-5b94-8368-b28afcea3868,A,24,Politics,"Musk Repeatedly Raises the Idea That Harris, or He, Could Be Assassinated",NA,NA,"Musk Repeatedly Raises the Idea That Harris, or He, Could Be Assassinated",NA,NA,NA,By David A. Fahrenthold,,NA
"Also, North Korean troops were deployed to help Russian forces. Here’s the latest at the end of Monday.",https://www.nytimes.com/2024/10/28/briefing/trump-rally-backlash-north-korea-russia-ukraine.html,"Also, North Korean troops were deployed to help Russian forces. Here’s the latest at the end of Monday.",Donald Trump and his allies are full of bravado over his chances of victory in November. But there are signs that the former president and his team are worried that their opponents’ descriptions of him as a racist and a fascist may be breaking through to segments of voters.,The New York Times,,,2024-10-28T22:00:34+0000,article,NYTNow,Briefing,News,nyt://article/1dc2710f-cea6-52e0-a810-e431efff19ae,1316,nyt://article/1dc2710f-cea6-52e0-a810-e431efff19ae,NA,NA,NA,Rally Backlash Puts Trump on the Defensive,NA,NA,,NA,NA,NA,By Matthew Cullen,,NA
"As Donald Trump’s rhetoric grows more extreme, liberals say Kamala Harris is being held, unfairly, to a higher bar by voters and the media. One is “allowed to be lawless while the other one has to be flawless,” a congresswoman said.",https://www.nytimes.com/2024/10/28/us/elections/michelle-obama-kamala-harris-double-standard.html,"As Donald Trump’s rhetoric grows more extreme, liberals say Kamala Harris is being held, unfairly, to a higher bar by voters and the media. One is “allowed to be lawless while the other one has to be flawless,” a congresswoman said.","For three months, as Vice President Kamala Harris has pressed her case for the White House, some voters have insisted they just don’t know enough about her. Pundits have grumbled that she is light on specifics; journalists have lamented that she wasn’t doing more interviews, or answering tougher questions, or answering easy questions more crisply. Her opponents have cast her as an “empty suit,” a lightweight with dangerous ideas.",The New York Times,,,2024-10-28T22:32:39+0000,article,Politics,U.S.,News,nyt://article/5d038711-9738-5b12-8864-209d8a8e2fa4,1389,nyt://article/5d038711-9738-5b12-8864-209d8a8e2fa4,A,19,Elections,Michelle Obama Decries a ‘Double Standard’ in Treatment of Trump and Harris,NA,NA,Former First Lady Decries a ‘Double Standard’ in Treatment of Harris,NA,NA,NA,By Rebecca Davis O'Brien,,NA
Latinos warned that the racist and vulgar insults made by some speakers at Donald J. Trump’s rally in New York City — particularly those by a stand-up comic — could cost the former president votes this election.,https://www.nytimes.com/video/us/politics/100000009788572/puerto-rico-latinos-trump-rally.html,Latinos warned that the racist and vulgar insults made by some speakers at Donald J. Trump’s rally in New York City — particularly those by a stand-up comic — could cost the former president votes this election.,Latinos warned that the racist and vulgar insults made by some speakers at Donald J. Trump’s rally in New York City — particularly those by a stand-up comic — could cost the former president votes this election.,The New York Times,,,2024-10-28T22:35:10+0000,multimedia,,U.S.,Video,nyt://video/417882de-56fe-5c44-942d-6d7c17aa749d,0,nyt://video/417882de-56fe-5c44-942d-6d7c17aa749d,NA,NA,Politics,Latinos Blast Disparaging Remarks Made at Trump’s N.Y.C. Rally,NA,NA,,NA,NA,NA,By Axel Boada,,NA
He’s even more antilabor and pro-plutocrat than orthodox Republicans.,https://www.nytimes.com/2024/10/28/opinion/trump-american-workers.html,He’s even more antilabor and pro-plutocrat than orthodox Republicans.,"Donald Trump has always been a con man. As a businessman, he left behind a trail of investors who lost money in failed ventures even as he profited, students who paid thousands for worthless courses, unpaid contractors and more. Even amid his current presidential campaign he has been hawking overpriced gold sneakers and Trump Bibles printed in China.",The New York Times,,,2024-10-28T23:00:08+0000,article,OpEd,Opinion,Op-Ed,nyt://article/b7ddeea0-170f-51c4-bf4a-cfcfe99e0123,913,nyt://article/b7ddeea0-170f-51c4-bf4a-cfcfe99e0123,A,26,NA,Trump’s Biggest Con: Pretending He’s on the Side of Working Men and Women,Paul Krugman,NA,Trump’s Biggest Con: Pretending to Support American Workers,NA,NA,NA,By Paul Krugman,,NA
"The former president, who often uses disparaging nicknames for people he dislikes, has referred to the host by a woman’s name on at least three occasions since Friday.",https://www.nytimes.com/2024/10/28/us/politics/trump-anderson-cooper-cnn.html,"The former president, who often uses disparaging nicknames for people he dislikes, has referred to the host by a woman’s name on at least three occasions since Friday.","Former President Donald J. Trump has spent the past several days calling the CNN host Anderson Cooper by a woman’s name, as he devotes much of the final stretch of a close presidential campaign to increasingly unfiltered displays of grievance and bigotry.",The New York Times,,,2024-10-28T23:01:42+0000,article,Politics,U.S.,News,nyt://article/f8924d6b-f14a-5c91-b52a-f7f994213d30,293,nyt://article/f8924d6b-f14a-5c91-b52a-f7f994213d30,NA,NA,Politics,Trump Repeatedly Refers to CNN’s Anderson Cooper as ‘Allison’,NA,NA,,NA,NA,NA,By Maggie Astor,,NA
"Like the former president, these stand-ups loathe the news media, delight in transgression and harbor a deep-seated love of cruel insult jokes.",https://www.nytimes.com/2024/10/28/arts/trump-tony-hinchcliffe-joe-rogan.html,"Like the former president, these stand-ups loathe the news media, delight in transgression and harbor a deep-seated love of cruel insult jokes.","The stand-up of Tony Hinchcliffe, a popular insult comic, became an immediate issue in the presidential campaign on Sunday after his racist lines at a Donald J. Trump rally earned immediate blowback and criticism from, among others, the Democratic vice-presidential candidate, Tim Walz.",The New York Times,,,2024-10-28T23:51:28+0000,article,Culture,Arts,News,nyt://article/e6f546fa-bc54-5d3d-85e3-0a94b7af3353,1191,nyt://article/e6f546fa-bc54-5d3d-85e3-0a94b7af3353,C,1,NA,Why Trump Uses Comics Like Tony Hinchcliffe to Spread His Message,On Comedy,NA,Trying to Be Offensive Is the Point,NA,NA,NA,By Jason Zinoman,,NA
"In a speech in Pittsburgh a day after the sixth anniversary of the Tree of Life shooting, he vouched for Kamala Harris’s commitment to Jewish security and issued a warning about Donald Trump.",https://www.nytimes.com/2024/10/28/us/politics/doug-emhoff-antisemitism-speech-jewish-voters.html,"In a speech in Pittsburgh a day after the sixth anniversary of the Tree of Life shooting, he vouched for Kamala Harris’s commitment to Jewish security and issued a warning about Donald Trump.","Doug Emhoff, the husband of Vice President Kamala Harris and the first Jewish second spouse, warned on Monday that another term for former President Donald J. Trump would gravely threaten American Jews, as he also vouched for Ms. Harris’s commitment to a community on edge over rising antisemitism.",The New York Times,,,2024-10-29T00:18:06+0000,article,Politics,U.S.,News,nyt://article/30e86617-2440-56a7-a564-ae601d1466b1,1320,nyt://article/30e86617-2440-56a7-a564-ae601d1466b1,NA,NA,Politics,Doug Emhoff Condemns Antisemitism as Democrats Court Jewish Voters,NA,NA,,NA,NA,NA,By Katie Glueck,,NA
"Many Puerto Ricans in the crucial battleground state said the remarks, such as one deriding Puerto Rico as “a floating island of garbage,” fit a common disrespectful attitude toward the island territory.",https://www.nytimes.com/2024/10/28/us/politics/puerto-ricans-philadelphia-trump-rally.html,"Many Puerto Ricans in the crucial battleground state said the remarks, such as one deriding Puerto Rico as “a floating island of garbage,” fit a common disrespectful attitude toward the island territory.","Puerto Rican residents of Philadelphia reacted with shock and anger on Monday at racist remarks against Puerto Rico and Latinos made by a speaker at former President Donald J. Trump’s rally on Sunday at Madison Square Garden, joining a growing public backlash.",The New York Times,,,2024-10-29T01:03:07+0000,article,Politics,U.S.,News,nyt://article/ce37ab35-1929-5397-85fb-ba1076d40149,835,nyt://article/ce37ab35-1929-5397-85fb-ba1076d40149,NA,NA,Politics,Puerto Ricans in Philadelphia Are Angered by Bigoted Remarks at Trump Rally,NA,NA,,NA,NA,NA,"By Chris Cameron, Joel Wolfram and Mattathias Schwartz",,NA
"The partly unsealed rulings, orders and transcripts open a window on a momentous battle over grand jury testimony that played out in secret, creating important precedents about executive privilege.",https://www.nytimes.com/2024/10/28/us/trump-election-case-secret-documents.html,"The partly unsealed rulings, orders and transcripts open a window on a momentous battle over grand jury testimony that played out in secret, creating important precedents about executive privilege.","Court documents unsealed on Monday shed new light on a legal battle over which of former President Donald J. Trump’s White House aides had to testify before a grand jury in Washington that charged him with plotting to overturn the 2020 election, showing how judges carved out limits on executive privilege.",The New York Times,,,2024-10-29T01:15:05+0000,article,Washington,U.S.,News,nyt://article/4865c965-5633-5180-abeb-657e371fb99e,1048,nyt://article/4865c965-5633-5180-abeb-657e371fb99e,A,16,NA,Secret Files in Election Case Show How Judges Limited Trump’s Privilege,NA,NA,Secret Files in Jan. 6 Case Show How Judges Limited Trump’s Privilege,NA,NA,NA,By Charlie Savage and Alan Feuer,,NA
"The vice president finished her day in the battleground state at a rally near the University of Michigan’s campus in Ann Arbor, where she sprinkled her speech with outreach to progressive Democrats.",https://www.nytimes.com/2024/10/28/us/politics/harris-michigan-ann-arbor.html,"The vice president finished her day in the battleground state at a rally near the University of Michigan’s campus in Ann Arbor, where she sprinkled her speech with outreach to progressive Democrats.","Vice President Kamala Harris raced across Michigan on Monday, making three stops in the battleground state to begin a furious final week of her presidential campaign.",The New York Times,,,2024-10-29T01:20:04+0000,article,Politics,U.S.,News,nyt://article/e40bb675-fbad-54ac-88a7-5ece5e1a9d29,764,nyt://article/e40bb675-fbad-54ac-88a7-5ece5e1a9d29,NA,NA,Politics,Harris Dives Into a Frenetic Final Week With a Swing Through Michigan,NA,NA,,NA,NA,NA,By Nicholas Nehamas and Reid J. Epstein,,NA
"In former President Donald J. Trump’s third campaign for the White House, his speeches have grown coarser and coarser.",https://www.nytimes.com/2024/10/28/us/politics/trump-profanity.html,"In former President Donald J. Trump’s third campaign for the White House, his speeches have grown coarser and coarser.",Follow live updates on the 2024 election here.,The New York Times,,,2024-10-29T01:28:59+0000,article,Washington,U.S.,News,nyt://article/eb22a7e6-5feb-5c2d-bb26-023ccc5e2966,1468,nyt://article/eb22a7e6-5feb-5c2d-bb26-023ccc5e2966,A,10,Politics,Trump Long Ago Crossed the Line From Propriety to Profanity. Then Came the Garden.,NA,NA,"From Propriety to Profanity, G.O.P.’s Potty Mouths Get a Green Light",NA,NA,NA,By Peter Baker and Dylan Freedman,,NA
"At a rally in Atlanta, Donald Trump called the former first lady a “hater,” in response to her comments saying he had displayed “erratic behavior” and “obvious mental decline.”",https://www.nytimes.com/2024/10/28/us/politics/trump-michelle-obama.html,"At a rally in Atlanta, Donald Trump called the former first lady a “hater,” in response to her comments saying he had displayed “erratic behavior” and “obvious mental decline.”","Former President Donald J. Trump said that Michelle Obama had made a “big mistake” by criticizing him, as he responded on Monday for the first time to her recent searing comments about his mental state.",The New York Times,,,2024-10-29T01:41:48+0000,article,Politics,U.S.,News,nyt://article/0d88a463-e9a5-5880-9697-8a2e24e1c0fe,443,nyt://article/0d88a463-e9a5-5880-9697-8a2e24e1c0fe,NA,NA,Politics,"Trump Attacks Michelle Obama, Days After She Criticized Him",NA,NA,,NA,NA,NA,By Maggie Haberman,,NA
